[0.000	79.883]

[203.088	203.088]
 SPEAKER_03	" 네."

[203.645	203.088]
 SPEAKER_01	" 한"

[204.758	203.088]
 SPEAKER_03	" 교수님께서는  대학교  교수이기도  하시지만  동시에  성형외과  전문의이신  걸로  알고  있습니다.  그렇습니다.  의사의  입장에서  또  병원  경영자는  좀  다른  뭐랄까  입장이랄까  의견을  갖고  계실  것도  같은데  WTO  개방협상을  의사의  입장에서는  어떻게  보고  계시는지요?"

[221.161	257.797]
 SPEAKER_07	" 제  사견으로는  지난  한  세대  동안  아니  한  세대  동안  30년  동안 발전의  근간은  결국은 아니었지  않느냐 그것을  근간으로  해서  이때까지  발달했고 의학을  보더라도 의학의  수준이  올라간  것은 형태든  간에 통해서  여기까지  올라온  것입니다. 결국은  WTO가  이제 세계에서  피할  수  없는  대세이고 그것을  원치  않는다  하더라도 가장  최악의 대비해야  되기  때문에 개방을  전제로  두고  거기에  대비해야  된다고  생각이  듭니다.  네."

[258.202	280.038]
 SPEAKER_03	" 박사님. 치과  의사도  준비가  참  필요한  부분이  아닐  수  없을  것  같고요.  또  그  거센  개방의  파도에  맞서서  국내적으로  또  국제적으로  여러  가지  상황을  예의주시하고  계신  걸로  알고  있는데 협회는  이  WTO  개방에  관하여서  어떻게  준비를  하고  있고  또  어떤  입장이신지가  궁금합니다."

[281.759	341.210]
 SPEAKER_05	" 의료라는  것은  좀  타과에  비해서  약간  의료의  차이섬이  있습니다.  환자와  대면에서  직접  모든  시간을  의사가  시술하고 모든  시간을  같이  하는 의료의  특수성이  있는  분야가  치과  분야입니다. 아마 토론회를  보시는  분들  중에서  치과를  많이 분들은 기대  반  또 반  이런 시청자분들도  그런  기분을  가지고  계실  텐데 치과  의사들도  마찬가지입니다.  지금  아직까지는  혼란스럽고요. 또 분야가  성격이  짙은  분야이기  때문에 치과  의사들도  상당히  혼란스럽지만 우려가  깊어지는  그런  분위기인  것  같습니다.  그래서 치과  특수  분야에  있어서  몇  가지  좀  가로막고  있는  장애물들이  있습니다.  그런  거가  좀  치워지지  않는  한은  개방에  좀  회의적이지  않은가  그런  분위기인  것  같습니다."

[342.458	398.365]
 SPEAKER_03	" 지금까지  네  분  토론자께서는  아무래도  병원  경영자라든가  또는  의사,  한의사,  치과의사  입장에서  말씀해  주셨는데 그런  어떤  의료  담당자의  어떤  입장도  중요하지만  국민의  입장에서  생각하는  부분도  상당히  중요하지  않을  수  없고요.  그런  측면에서  오늘  토론은  여기부터  시작해보면  어떨까  싶습니다.  과연  이  의료  서비스라고  하는  것이 어떤  성격을  계속해서  강조해야  할  것인지  아니면  이  분야에  관하여서  소위  그  시장  경제  원리를  도입을  해서  어떤  서비스의  질적  개선을  좀  도모해야  할  것인지  이  부분에  관한  논의로  시작을  했으면  좋겠는데  왕  교수님, 아무래도  경제학자이시고  따라서  의료  서비스의  어떤  그  질적  개선을  위하여서  어떤  시장  경제  원리의  도입에  찬성하시는  입장이신  걸로  알고  있는데  어떻습니까?  이제  그  의료  서비스  분야가  공공재로서의  성격을  계속해서  유지해야  할  걸로  보십니까?  어떻습니까?"

[400.087	468.565]
 SPEAKER_00	" 공공재라는  사실  은행도  공공업인데요.  공공적인  성격이  큰데  은행은  다  열어야  된다고  다  합의를  보았습니다.  이것도  마찬가지입니다.  우리가  적은  비용으로 질  좋은  서비스를  어떻게  하면  제공하느냐  이거거든요.  그런데  우리나라  의료  서비스는  완전히  사회주의적인  제도,  의료제도입니다.  그러니까  숙가도  병원  숙가도  정해놓아가지고  대학  큰  병원들이  이익을  남기지  못하고  의사  중요한  심장의과라든가  중요한  뇌라든가  이런  데는  지금  3D  업종으로  해가지고  의사들이  가지를  않고 되게  가격  체계가  맞지  않아서  그래요.  인센티브,  유인과  경쟁  체제가  안  되어  있다는  겁니다.  그래서  시장  경제로  해야  되고  특히  또  소비자들은 것을  선택할  수  있고  또  다른  것은  포기하더라도  또  돈은  많이  들이더라도  보다  질이  높은  서비스를  원하는  사람들이  많습니다.  그래서  그런  걸  제공하는  것이  자본주의과고  그리고  경쟁과  유인이  없으면  인센티브  제도가  없으면  사회가  잘  발전하지  않습니다.  의료제도  마찬가지라고  봅니다."

[469.966	474.067]
 SPEAKER_03	" 강조하셨는데요.  홍  교수님. 교수님께서도  그와  같은  입장에  찬성하셨는지요?"

[474.455	590.757]
 SPEAKER_02	" 여기  의료시장  개방이라고  하는  데  대해서 차보로  의사  선생님들이라든가  병원분이라든가  굉장히  걱정을  많이  하시는데  불행하게도  철학계는  거기에  대해서  아무런  준비가  안  되어  있다고  얘기를  우선  드려야  되겠고요.  그렇지만  조금  근본적으로  생각해  볼  때 볼  때는  이  논의의  패턴  자체가  굉장히  마음에  안  들어요. 왜냐하면 베푸는  분들이라든가  전문가들한테만  자꾸  걱정스러운  눈길을  던지지 의료  서비스를  받아야  하는  환자나  국민  입장에서  어떻게  생각하는지는  지금  전혀  묻고  있지는  않다.  이겁니다. 실질적으로  아까  우리  왕선생님께서  우리  나라가  의료  서비스  체계라든가  이런  게  사회주의다.  이렇게  여러  가지  얘기를  하셨지만 가장  먼저  의료  서비스의  출발점은 죽음의  위기에  처해  있거나  아니면  고통에  처해  있는  사람들이  의료  서비스에  접근할  수  있느냐  없느냐  이것이  서비스의  제1차적인  조건이라고  생각합니다. 한다면  과연  의료시장  개방이  이와  같은  환자들  또는  의료를  필요로  하는  사람들의  접근  가능성을  갖다가  과연  높이느냐  낮추느냐  하는  이  부분부터  얘기를  시작해야  되는데  제가  볼  때는  의료  서비스를  기술을  독점하고  있는  분들은  걱정을  해도  거기에서  실제  질병을  고쳐야  한다든가  죽음의  위기에서  벗어나야  할  분들이  안부는  전혀  안  붙는  것  같아요.  굉장히  섭섭하다는  생각이  듭니다. 점에서  제가  볼  때는  일단은  뭐가  되는가  하면  이게  인센티브다  뭐다  하기  이전에  국민의  직접적인  생명과  의료의  존립  근거에  대해서부터  먼저  생각을  해서  그걸  기초로  해서  다른  분야를  좀  생각을  하면  저는  아주  문제는  간단하게  풀릴  수  있다고  생각합니다."

[590.757	590.757]
 SPEAKER_03	" 저희가  이  자리에  홍  교수님을  모신  이유가  바로  거기에  있지  않겠습니까?  아마  환자  입장에서  또는  철학자  입장에서  좀  다양한  목소리를  수용하기  위해서  홍  교수님을  모신  거고요.  저도  그렇습니다.  말씀하십시오."

[599.262	590.757]
 SPEAKER_00	" 저도  그렇습니다.  말씀하십시오.  저도  소비자  입장에서  말씀드리겠습니다."

[603.329	621.723]
 SPEAKER_03	" 네.  지금  홍  교수님께서  좀  제의하신  문제에  관해서  왕  교수님께서는  어떻게  생각을  하시는지  의료  서비스와  관련하여서  인센티브제를  도입해야  된다는  입장보다는  일단  근본적으로 시장  개방  협상이  국민의  입장에서  어떻게  받아들여져야  할  것인가라는  문제를  제기해  주셨는데"

[622.583	621.723]
 SPEAKER_00	" 입장에서는  기본적인  거  아주  기본적인  거  그런  것은  정부에서  제공하고  또  기본적인  의료보험  공공의료보험으로  제공하고  또  고급  서비스  이런  것은  역시  좀  다양한  이런  서비스를  위해서  개방이  되어지지  않나  그겁니다.  그러니까  우리는  두  가지로  나눠야  될  것  같아요.  아주  기본적인  거.  그러니까  가난한  사람한테는  정부가  나눠주지  않습니까?  음식들을.  그리고  또  그런  아주  기본적인  것이  있는  사람들은  그  외에  돈  주고  사서  먹고  마찬가지로  의료  서비스도  그렇게  다뤄야  된다고  생각합니다."

[656.350	743.172]
 SPEAKER_02	" 점에서  제가  조금  우려를  표명하는  것이  이런  게  있습니다. 실질적으로  국민들한테  정부가  많은  걸  나눠준다  이렇게  얘기를  하시는데 예를  들어서  먹을  걸  나눠주는  데는  전문가의  개입이  그렇게  필요하지  않습니다. 지금  현재  의료시장  개방  문제를  놓고  소위  의료  분야의  5개  이익단체들이  움직이기  시작을  했는데요. 제가  그걸  갖다가  자세하게  추적을  하지는  못했습니다마는  대체로  제가  봤을  때  모든  협회라든가  의사협회,  병원협회,  간호사협회  등등  모든  협회가  의료인  전문가들이  존립  자체를  최우선적으로  생각을  하고  있다는  겁니다. 무엇보다도  의료  서비스  같은  경우는 개입이  없으면  정부가  그것을  아무리  의지를  갖고  있더라도  국민들한테  그  서비스를  베풀  수  없다는  굉장히  경직되고  비탄력적인  성격을  띄고  있다는  거죠. 때  제가  볼  때는  이런  부분들이 말하자면  재작년의  의료  대란이라든가  어느  면에서는  인류  역사상  초유의  의사  총파업이라고  하는  그런  악몽  같은  시절을  저희가  겪었습니다마는 부분에  있어서  과연  이것이  또다시  외국의  경쟁으로부터  보호한다는  명목  하에  또  의사분들이라든가  이런  전문가  독재  형태로  나타나지  않을까  하는  우려를 지울  수가  없다는  겁니다."

[744.202	855.290]
 SPEAKER_08	" 입장에서  좀  말씀을  드리겠습니다. 그게  의료하실  필요가  전혀  없다는  겁니다. 지금  문제는 위해서  존재하는  겁니다. 의사가  된  이상 사람이 사람  중에 탤런트가  의학  쪽에  있어가지고  사람을  생명을  지키는데  너가  직분을  주어서  이렇게  하는  거란 국민  없이  의사끼리  살  수가  없는  거죠.  그러니까  국민을  위하는다는  점에서는  의사에서  한  번도  벗어난  적이  없습니다. 또  정부도  국민을  위해서  존재하는  겁니다. 그러니까  원래  존재하는  가치는  국민입니다. 지금  문제는  국민이  불만을  표시하고 대해서  대단히  불쾌하다  이  말이죠. 또  의사도  마찬가지로  이  의료에  대해서  굉장히  우리가  좋은  진료를  하고  싶은데  뭔가  걸림돌이  많아서  제대로  안  되고  있다고  불만을  내세우고  있습니다. 정부는  정부대로 너무  많이  들어서  좀  싸게  공급을  국민에게  하고  싶은데  안  되고  있다고  합니다. 모든  이  나라를  구성하고  있는  이  세  3자가  모두  반대한  불만의  차이  있단  말이죠.  이거는  뭐냐면  의사의  잘못도  아니고  정부의  잘못도  아니에요.  시스템의  잘못이에요. 그러니까  우리  마음의  심성은  환자를  어떻게든  생명을  지키고  건지고  살리는  일에  몰두하고  있어요. 대해서는  개방이  되든  안  되든  돈을  받든  안  받든  우리는  그거는  틀림없이  해요. 그러니까  그걸  염려하는  게  아니라  다만  그걸  어떻게  효율적으로  하는  것이  시스템에  적합하냐. 그것이  개방체제가  시스템에  적합하냐.  아니면  클로즈드. 폐쇄된  대원군  시절로  돌아가서의  시체제가  더  합리적이냐.  이런  얘기를  하자는  거지. 우리가  근본적으로  국민을  외면하고  살  생각은  한  번도  해본  적이  없습니다."

[855.290	855.290]
 SPEAKER_02	" 저도  그  주관적인  동기에  있어서는  선의  동기를  전혀  의심하지는  않습니다."

[859.930	869.228]
 SPEAKER_08	" 존재  가치도 좋다는  겁니다.  다만  국민이  건강하면  병이  없다면  병원이  있을  이유가  없죠.  레저타운이  많아지면  되죠."

[869.583	869.228]
 SPEAKER_07	" 건강하지  않기  때문에  있는  거죠.  교수님  말씀하신  게  조금  바로잡을  게  있어서  아까  세계  역사  초유의  파업이라고  말씀하시는데"

[870.511	869.228]
 SPEAKER_08	" 않기  때문에  있는  거죠."

[879.742	896.937]
 SPEAKER_07	" 일본에서도  이보다  더  극심한  파업이  있었고  그것은  의권이  침해당했을  때  전문가  집단으로서 권리는  있습니다.  그렇다고  보고  또  제가  레지던트를  캐나다에서  했는데 캐나다  온타리오주  전체 달간  파업을  했었습니다."

[897.207	896.937]
 SPEAKER_02	" 그런데  전국적이지는  않았죠?"

[898.490	896.937]
 SPEAKER_07	" 않고  그것은  국가의  개념이  희박한  나라이기  때문에  그렇게  될  수가  없고"

[901.763	896.937]
 SPEAKER_02	" 될"

[903.485	929.877]
 SPEAKER_07	" 나라에서 또  한  달  동안  파업을  한  적도  있고 다음에  이스라엘에서도  최근에  파업을  한  적이  있었고 가장  최근에  파업을  할까  말까  하다가  정부에서  조치를  바꾸는  바람에  유보된  적이  있습니다. 의사들이  환자의  이익을  위해서  정부가  잘못한다  그럴  때 대화로서  해결이  안  될  때는 자체가  그렇게  만드는  것입니다.  우리가  하고  싶어서  하는  게  아니라"

[930.755	1015.214]
 SPEAKER_01	" 물론  의사하고  전문직이지만 노  박사님께서도  말씀하셨지만  국민을  위해서  존재한다는  입장에서 WTO  서비스  협상  개방이라고  하는  어떤  이면을  우리가  한번  고찰을  해볼  필요는  있다고  봅니다.  이게  물론  세계적인  기준을  마련하고  자유무역  거래를  활성화시키고  해서  전  세계  시민이  다  같이  발전할  수  있고  혜택을  고려  누릴  수  있다고  하는  좋은  어떤  취지가  있지만  또  다른  측면에서는  안티  WTO라는  어떤  그룹에서  활동하는  걸  제가  보니까  이것이  어떤  그런  좋은  미명  하에  어떤  선진국의  다국적  초국적  기업들의  기업  활동을  보장하기  위한  어떤  각국이  갖고  있는  규제를  철폐하는  쪽에서  어떤  악용이  될  수  있는  소지도  있다는  점에서  우리가  충분히  주의를  하셔야  되고  개방이라고  하는  어떤  이런  서비스  수준이  향상되고  질이  높아지고  하는  문제가  있지만  그게  따르는  필연적인  어떤  재정의  악화  문제는  우리가  고려를  하셔야  되고  결국  재정  부담이  늘어난다는  것은  곧바로  국민들  부담으로  이어지게  되고  국가  재정에  또  위험을  줄  수  있기  때문에  우리가  어떤  각  직역  간의  의사든  한의사든  치과의사든  간호사든  각  직역  간의  어떤  이런  이익보다는  국가적으로  재정  위기라든지  의료의  질을  어떻게  관리를  하고  정말로  국민들이  세계적  수준의  어떤  서비스를  받을  수  있는가에  대해서  우리가  좀  관심을  가지고  연구를  많이  해야  된다고  생각하는"

[1015.282	1080.757]
 SPEAKER_00	" 왕  교수님. 가장  중요한  건  질이  문제이지  않습니까?  우리도  어느  정도  사니까 문제인데  과거  역사상  연구한다면  질은 없으면  질이  높아지지  않는다.  그래서  우리나라  제조업보다도  서비스업이  많이  낙후되어  있어요.  서비스업이.  여러  가지  외국하고  비교해보면 교육도  교육평준화니  교육수준이  많이  낙후되어  있어요.  정치인  이런  게 경쟁이  없어.  자동차  같은  거  전자  삼성전자  이런  건  경쟁이  잘  되니까  발전하는데  외국수준으로  따라가는데  이건  경쟁이  없으면  그냥  그대로  낙후되는  사회로  있단  말입니다.  경쟁하면  금방  우리가  올라잡을  수  있고  또  우리가  재정  부담만  늘어나는  관계는  아니고  우리도  우리  자본과  의료기관  의사들이  외국에  가서 수  있기  때문에  그게  재정  부담이라고  할  수만도  없는  것입니다.  그리고  또 1조  원  이상씩  그런  비용이  이미  든다고  하지  않습니까?  사람들이  해외에서  진료를  받으니까  그런  사람들이  여기서  받으니까  그런  큰  부담이  되는  것도  아니죠."

[1080.757	1122.674]
 SPEAKER_01	" 측면에서는  부담없이  잘  해결할  수도  있지만  실제로  외국에  어떤  자본이  투입이  돼가지고  병원이  고급화가  되고  또  고급  의료  장비들이  수입이  되고  또  고가  약지가  들어오고  이랬을  경우에는  이것이  재정  부담으로  늘어날  수가  있거든요.  그래서  지금  정부에서도  대응을  하는  것이  지금  현재  우리나라  의료보험  체제는  건강보험의  의사들이  강제로  당연히  가입을  하게  돼  있지만  이것이  외국에서  요구할  때는  지금  우리나라  건강보험  가지고는  사실  이익이  발생할  수가  없습니다.  그럼  이  사람들이  지금  요구하는  것이  사보험을  요구한다든지 부분에  대해서는  당연히  우리  어떤  국민들의  부담이  늘어난다고  보셔야  되겠고요."

[1123.687	1196.806]
 SPEAKER_08	" 다릅니다.  천  선생님  말씀하시는데 개방하면  의료비가  늘어난다고  하는  게  지금  저는  이해가  잘  안  가요. 그러니까  외국이  들어온다고  해서  경쟁이  치열해지면  더  싸질  수도  있는  거예요. 외국의  약도  선생님  한번  생각해  보세요. 싼  약을  위해서  처방하는  게  환자한테  도움이  안  된다고  생각하면  할  수  없어요.  이  세상의  건강을  위해서는  이  세상에  가장  좋은  것을  최선을  그  환자에게  하는  것이  의사의  본분이에요. 그죠? 이  세상에  한국에  없더라도  미국  땅에  있는  의료면  그것이  가장  이  환자에게  적절하다고  생각하면  우리는  그걸  제공하고  싶어요. 다만  그것을  미국  사람  손에  하면  비용이  많이  드실  거예요.  그러나  우리  손에  의해서  하면  훨씬  싸게  할  수도  있고  교육받아서  하면  그거  해요.  그러니까  저는  이  의료비가  상승한  것이 의사들은  병도  똑같이  생기고  우리가  돈  더  갖지도  않았는데  갑자기  돈이  낭비가  많아졌어요.  이런  낭비  요인들은  우리  전문가들이  같이  해야  돼요.  시스템의  잘못이지  우리  본성의  잘못이  아니에요. 저도  우려하고  보면...  어딘가  약국에  갔든  한의사에  갔든  어딘가에  루즈된"

[1192.216	1196.806]
 SPEAKER_01	" 저도  우려하고  보면...  어딘가  약국에  갔든  한의사에"

[1197.228	1212.685]
 SPEAKER_08	" 요소가  있어요.  저는  그건  눈에  보여요.  그렇지만  그것을  개선하는데  우리가  적극적인  노력을  안  하는  거지. 개방했다고  해서  보다  싼  값의  양질의  진료를  제공할  수  있겠다는  확신이  있기  때문에  말씀을  드리는  거예요."

[1213.546	1265.099]
 SPEAKER_02	" 점에  대해서  저는  아까  왕선생님  말씀도  그렇고  노원장님  말씀도 특정  분야에  있어서  경쟁을  통해서  비로소  질적인  상승이  이루어지고 그다음  그런  개방을  통해서  보다  나은  처방을  받을  수  있다고  하는  그  점에  있어서는 시장  경제를  신봉하는  입장에서  아주  전적으로  찬성을  드립니다. 것은  뭐가  되는가  하면 하는  것이 말해서  일반적인  어떤  소비상품과는  다른  대상이  된다는  겁니다. 그리고  또  중요한  것은  뭐가  되는가  하면 앞으로  원장님  경영하시는  병원에  꼭  가겠습니다마는  가령  환자에게  가장  좋은  약이라  할지라도 부담할  능력이  없으면  쓸  수  있게  됩니까?  못  쓰게  됩니까?  저는  그걸  여쭤보고  싶습니다."

[1264.998	1265.099]
 SPEAKER_08	" 써야  됩니다."

[1265.791	1378.533]
 SPEAKER_02	" 써야  되는데  지금  현재  몇  가지  시스템  문제가  나왔을  때 볼  때는  소비자  입장에서  또는  제가  항상  의사  선생님들의  도움을  필요로  하는  입장에서  얘기  드릴  때  병원에  가기가  두려워요.  왜  그런가  하면 내가  나한테  내  재정으로서  부담할  수  없는  처방이  내려졌을  때 때  나는  어떻게  해야  되느냐에  대해서  병원  현재  우리나라  시스템에서는  가령  의사  선생님들이  마인드라든가  아니면  보험  체계라든가  어디에서도  거기에  대한  답을  들을  수가  없거든요.  그래서  결국은  뭐가  되는가  하면  진단조차  혹시  큰  병  진단  나지  않을까  이런  두려움들을  저뿐만  아니라  많이들  갖고  있다고  생각을  합니다.  그러니까  시스템을  얘기를  한다고  했을  때  단지  어떤  의약품이라든가  하는  이런  어떤  물질적  요인만이  아니라 하는  그러니까  상품화할  수  없는  그  부분에  대한  일종의  존엄성이  기본적으로  갖추어진  위에  이  시스템이  짜여져야  되느냐  아니면  병원이  영리라든가  이런  걸  중심으로  해서  시스템이  짜여져야  되느냐에  대해서  조금은  이제  우리가  좀  우리나라  의료체계나  의료전달체계를  생각을  할  때  말하자면  지금  이  시장  개방을  계기로  해서  근본적으로  해야지  나중에  그  저쪽에서  들어올  때  우선  첫째 시장  개방  문제의  가장  큰  문제는  누가  소비자를  갖다가  잡느냐  하는  문제  아니겠습니까?  그럴  때  제가  볼  때는  과연  한국의  의사분들이 한국  의사들을  필요로  하는  의료  소비자들이  지지를  받고  있는지에  대해서는  그리고  굉장히  의심이  된다는  거죠.  그런  점에서  우리  의사  선생님들이  그동안의  어느  면에서는  사적인  소유  위주로  해왔던  우리  의료  시스템의  상당  부분을  각  이익단체들이  서로  벽을  헐고  뭐가  문제인가를  갖다가  국민들  앞에  투명하게  공개를  해줬으면  좋겠습니다."

[1378.533	1378.533]
 SPEAKER_03	" 관련해서  사회자가  잠깐  정리해  말씀을  드리면요.  국민의  생명과  건강이  궁극적인  목적이라는  데  대하여서는  각  협회나  정부  어느  누구도  이견이  없으리라고  생각을  합니다."

[1388.152	1378.533]
 SPEAKER_02	" 말로는요."

[1389.012	1378.533]
 SPEAKER_03	" 문제는  다만  그것을  구현하는  방법이랄까  시스템적인  측면에  있어서  과연  공공성이라고  하는  성격을  강조해서  계속해서  그  시스템을  구축해  나갈  것인가  아니면  그  시스템  또는  수단이라고  하는  것을  시장  경제  원리를  도입해서  어떤  그  질적  개선을  도모할  것이냐라고  하는  방법적인  차이  아니겠습니까?"

[1410.005	1378.533]
 SPEAKER_02	" 그런데  공공성과  시장성이  그렇게  충돌한다고는  저는  생각하지는  않습니다.  하지만  구체적으로  충돌되는  부분이  나타나고  있는  것으로.  물론  그럴  수는  있겠죠."

[1415.692	1424.112]
 SPEAKER_07	" 있는  것으로.  물론  그럴  수는  있겠죠.  말씀하신  것은 제도  하에서도  공공성이  보장되지  않고  있다고  말씀하셨습니다."

[1424.112	1424.112]
 SPEAKER_06	" 그런"

[1424.416	1424.112]
 SPEAKER_07	" 그런  부분이  상당히  된다는  거죠.  바로  그  점  때문에  우리가  개방을  하면"

[1425.867	1424.112]
 SPEAKER_06	" 거죠.  바로"

[1429.040	1424.112]
 SPEAKER_07	" 이  제도에서  벗어나  더  공공성을  강화시킬  수도  있지  않냐  하는  겁니다."

[1434.440	1424.112]
 SPEAKER_02	" 선생님께서"

[1435.300	1512.217]
 SPEAKER_07	" 우리가  월드컵을  하거나  올림픽을  하면서  한  번씩  나라의  수준이  올라가듯이  WTO를  맞이하면서 열고  또  공공도  갖추면서 얘기는  어떻게  보면 이제  평등과  자유라는  게  충돌할  수  있습니다. 우리  지금  정부는 평등에  또는  공공성에 하다  보니까  결국은  교육과  의료가  다  하향평준화되어  버리고  말았습니다. 거기에  많은  불만을  가진  사람들이  해외로  유학을  가거나  어릴  때부터 해외  진료를  찾아서  쫓아가고  있습니다. 그것을  우리가  좀  더 해서 그  좋은  고급  서비스를  이해하는  사람들한테  서비스를  제공하고  거기서  남는  이윤  창출의  일부를  또  어떤  그  밑에  사람으로  돌려  쓸  수  있다거나 그렇게  안  해도  사실 이  정부에서  한  은행을  살리기  위해서 아직도  몇  조를  더  넣어야  된다고  알고  있습니다. 의약분업  사태가  났을  때  우리가  5조  정도  가지고 정도만  해결할  수  있다고  그러는데 이때 먼저  쓰냐가  그게  결정이  안  됐기  때문에 이  당장에서도  해결을  할  수  있는데도 있다고  봅니다. 그  공공의료에  관한  강화  부분은 개방이  되어도 우리가  훼손  안  시키고  잘해  볼  수  있는  부분입니다. 그렇게  생각합니다.  네,"

[1511.558	1529.969]
 SPEAKER_00	" 네,  원교사님. 것은  내가  필요한  것을  내가  선택하느냐  그러나  정부가  선택하느냐  이  문제라고  봅니다.  그리고  사회주의식인  사고방식은  정부가  알아서  내가  필요한  걸  갖다  주겠다  이겁니다. 그러니까  너는  가만히  있어라  입  다물고  있어라.  정부가  알아서  필요한  것을  주마."

[1529.969	1529.969]
 SPEAKER_03	" 우리나라  지금  지금까지"

[1530.222	1578.907]
 SPEAKER_00	" 우리나라  지금  지금까지  쓰인  시스템이  그렇습니다.  그런데  이제  개방을  하게  되면  내가 다양한  서비스  중에서  내가  알아서  선택하는  겁니다. 내가  뭐  집을  팔아서라도  내  암을  고치겠다.  그러면  고칠  수  있는  거고  또  서비스가  많기  때문에  더  각이  싸지는  거고.  또  지금  지난  번에  의약분업사태로  파업이  있었지만  저는  개방을  일찍  했더라면  저는  절대  그런  파업이  있을  수  없다고  봅니다.  왜냐하면  그  전에  이미  외국  시스템이  외국  사람들이  많이  오고  의사들이  오기  때문에  바로  우리도  선진국식으로  바꾸지  않으면  망한다  이런  것들에서  다  바꾸게  됩니다.  선진국  법도  배우고요.  연구하고  그래서  바로  오는데  그렇지  않기  때문에  묶어놓기  때문에  이  안에서  하다가  보니까  지금도  문제가  많은  겁니다."

[1578.907	1698.888]
